proposal_number,CounDist,YES,NO,percentage,passed
2,1,31313,17310,64.3995639923493,TRUE
2,10,28527,15572,64.68854169028776,TRUE
2,11,30696,14180,68.40181834388092,TRUE
2,12,36024,7881,82.04988042364195,TRUE
2,13,27853,14267,66.12773029439695,TRUE
2,14,21972,5660,79.51650260567457,TRUE
2,15,21219,5398,79.71972799338769,TRUE
2,16,24409,5995,80.2821997105644,TRUE
2,17,23676,6300,78.98318654923939,TRUE
2,18,26485,8431,75.85347691602703,TRUE
2,19,26474,21864,54.76850510985146,TRUE
2,2,33146,21912,60.20196883286716,TRUE
2,20,16039,9243,63.44039237402104,TRUE
2,21,15878,5255,75.13367718733734,TRUE
2,22,27747,22047,55.72358115435595,TRUE
2,23,32789,16636,66.3409205867476,TRUE
2,24,24419,15994,60.42362606092099,TRUE
2,25,21418,11574,64.91876818622696,TRUE
2,26,26367,16550,61.43719272083323,TRUE
2,27,34947,9986,77.77579952373533,TRUE
2,28,29962,8935,77.02907679255469,TRUE
2,29,28404,16803,62.83097750348398,TRUE
2,3,38089,22215,63.161647651897056,TRUE
2,30,23308,18715,55.4648644789758,TRUE
2,31,30852,11454,72.92582612395405,TRUE
2,32,27216,20326,57.246224391064736,TRUE
2,33,27339,25424,51.81471864753709,TRUE
2,34,24148,20088,54.58902251559815,TRUE
2,35,30036,28753,51.09119052884042,TRUE
2,36,26542,20336,56.61930969751269,TRUE
2,37,18715,11301,62.35007995735607,TRUE
2,38,15030,14444,50.994096491823306,TRUE
2,39,27651,36191,43.31161304470411,FALSE
2,4,42244,21203,66.58155625955521,TRUE
2,40,28204,19968,58.5485344183343,TRUE
2,41,25242,8594,74.60101666863696,TRUE
2,42,26323,7263,78.3749181206455,TRUE
2,43,10189,10371,49.55739299610895,FALSE
2,44,8737,20828,29.551834939962795,FALSE
2,45,26836,13410,66.67991850121751,TRUE
2,46,26881,17278,60.87320817953306,TRUE
2,47,19666,17433,53.00951508126903,TRUE
2,48,16267,16232,50.05384781070187,TRUE
2,49,27261,17234,61.26755815260142,TRUE
2,5,43517,23593,64.84428550141558,TRUE
2,50,28458,33194,46.15908648543437,FALSE
2,51,28294,40083,41.379411205522324,FALSE
2,6,42488,29008,59.42710081682891,TRUE
2,7,32381,23223,58.23501906337674,TRUE
2,8,24651,8658,74.0070251283437,TRUE
2,9,35960,15902,69.33785816204544,TRUE
2,NA,1386113,858917,61.741402119348066,TRUE
