CounDist,average,total_yes,total_no,avg_yes,avg_no
1,55.05121225243604,78717,64006,78717,64006
10,59.38783075406735,76920,52474,76920,52474
11,64.86509396193607,86172,46623,86172,46623
12,80.25384741525366,104179,25603,104179,25603
13,65.34817483839434,81535,43219,81535,43219
14,76.33685944054328,62275,19273,62275,19273
15,77.00604063640662,60652,18087,60652,18087
16,77.48369099569854,69640,20208,69640,20208
17,76.64626917717311,67984,20691,67984,20691
18,73.720106081379555,76258,27160,76258,27160
19,55.50641983007314,79393,63661,79393,63661
2,51.02887315783879,82728,79088,82728,79088
20,61.413238950707886,45840,28784,45840,28784
21,71.25690648337016,44553,17946,44553,17946
22,51.91596585463413,76751,71029,76751,71029
23,65.46994063565216,95896,50569,95896,50569
24,58.46830428818103,69991,49694,69991,49694
25,60.58016873055443,59061,38377,59061,38377
26,55.91427600777551,71080,55959,71080,55959
27,77.09880749138975,102967,30577,102967,30577
28,76.29169781098638,88005,27346,88005,27346
29,59.494459235200836,79523,54086,79523,54086
3,53.04490332181398,94283,83124,94283,83124
30,55.1499330839242,68526,55728,68526,55728
31,72.85980370438995,91526,34092,91526,34092
32,56.50013692708887,79501,61201,79501,61201
33,43.44489244346341,67654,87796,67654,87796
34,48.713969875581114,63623,66847,63623,66847
35,45.644699934510726,79383,94373,79383,94373
36,53.28951253957704,73922,64730,73922,64730
37,59.229865845142584,52542,36130,52542,36130
38,48.51128572359721,42305,44869,42305,44869
39,37.452608617622765,70905,118227,70905,118227
4,57.40647623987696,107409,79406,107409,79406
40,55.12658609903131,78288,63642,78288,63642
41,72.65643555083551,72204,27144,72204,27144
42,76.57620985296774,75453,23051,75453,23051
43,48.76013604805539,29563,31057,29563,31057
44,30.413393945672503,26432,60503,26432,60503
45,66.01887884324816,77996,40130,77996,40130
46,60.82973854697426,78906,50805,78906,50805
47,51.09795981208962,55969,53529,55969,53529
48,48.319183960612285,46398,49599,46398,49599
49,61.33390508659916,80912,51006,80912,51006
5,56.05097657541314,110913,86665,110913,86665
50,48.612169788660466,88838,93963,88838,93963
51,43.89668190207706,88938,113737,88938,113737
6,49.976580613058935,105429,105154,105429,105154
7,51.47489721839168,84399,79362,84399,79362
8,69.65711296750679,68379,29728,68379,29728
9,64.64467271260328,98981,54044,98981,54044
NA,58.18019287934009,3858933,2770554,3858933,2770554
